endTime,artistName,trackName,msPlayed
2022-01-11 10:42,Bastille,Another Place,189297
2022-01-11 10:46,Destiny Rogers,Tomboy,203445
2022-01-11 10:49,Marshmello,FRIENDS,202620
2022-01-11 10:50,Little Mix,Confetti (feat. Saweetie),14403
2022-01-11 10:53,BTS,Film out,214620
2022-01-11 10:59,Badshah,"Hot Launde (feat. Fotty Seven, Bali)",30146
2022-01-11 11:00,The Weeknd,Pray For Me (with Kendrick Lamar),51290
2022-01-11 11:00,Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,9442
2022-01-11 11:03,Ariana Grande,34+35,173275
2022-01-11 11:07,The Chainsmokers,Closer,244640
2022-01-11 11:10,Ray-X,Alone Part 2,177492
2022-01-11 11:13,Anyways,Attentions Charlie Puth,186252
2022-01-11 11:18,Madilyn Bailey,I Need Your Love,199367
2022-01-11 11:21,SLANDER,Love Is Gone - Acoustic,176691
2022-01-11 11:24,Amber Van Day,Kids In The Corner,206026
2022-01-11 19:20,Anne-Marie,2002,30105
2022-01-11 19:24,Jay Sean,Down,212240
2022-01-11 19:28,Jay Sean,Ride It (Kya Yehi Pyar Hai),193459
2022-01-11 19:32,Liam Payne,For You (With Rita Ora),242539
2022-01-11 19:34,HRVY,Hasta Luego,146691
2022-01-11 19:35,Selena Gomez & The Scene,Who Says,2618
2022-01-12 15:09,A.R. Rahman,Parade De La Bastille,30226
2022-01-12 15:16,Woice with Warikoo Podcast,My Life is Over,374808
2022-01-12 15:18,Hanu Dixit,Realization,102392
2022-01-12 15:19,Romy,"Heer Badnaam (From ""Zero"")",76402
2022-01-12 15:21,Nucleya,Laung Gawacha,95743
2022-01-12 15:22,Nucleya,Bass Rani,57950
2022-01-12 15:24,Nucleya,Aaja,138921
2022-01-12 15:26,Nucleya,Chennai Bass,114490
2022-01-12 16:39,Nucleya,Mumbai Dance,2506
2022-01-12 16:40,Nucleya,FucK Nucleya,58360
2022-01-13 03:25,Alex Benjamin,Let Me Down Slowly (Ibara Remix),0
2022-01-13 03:28,Martin Jensen,Can't Come To The Phone,175305
2022-01-13 03:31,24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",192745
2022-01-13 03:34,24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",181083
