"endTime","artistName","trackName","msPlayed"
"2023-12-22 10:31","Queen","My Life Has Been Saved - Remastered 2011",195374
"2023-12-22 10:36","Queen","I Was Born To Love You - 2011 Remaster",289813
"2023-12-22 10:42","Queen","Heaven For Everyone - Remastered 2011",336160
"2023-12-22 10:46","Queen","Too Much Love Will Kill You - Remastered 2011",259213
"2023-12-22 10:51","Queen","You Don't Fool Me - Remastered 2011",324848
"2023-12-22 10:55","Queen","A Winter's Tale - 2011 Remaster",230157
"2023-12-22 10:58","Queen","It's A Beautiful Day (Reprise) - Remastered 2011",180453
"2023-12-22 10:58","Queen","Yeah - Remastered 2011",4066
"2023-12-22 11:39","Queen","Untitled - Remastered 2011",778890
"2023-12-22 14:19","Queen","Let Me Live - Remastered 2011",12477
"2023-12-22 15:00","Metallica","Whiskey In The Jar",304693
"2023-12-22 15:43","Nirvana","About A Girl",137386
"2023-12-23 02:45","Guns N' Roses","Estranged",100946
"2023-12-23 08:45","Pink Floyd","Shine On You Crazy Diamond (Pts. 1-5)",550400
"2023-12-23 08:48","Eagles","Take It Easy - 2013 Remaster",180272
"2023-12-23 08:49","Thin Lizzy","Whiskey In The Jar",38357
"2023-12-23 08:56","Metallica","Whiskey In The Jar",304693
"2023-12-23 08:56","Nirvana","About A Girl",5688
"2023-12-23 09:16","Guns N' Roses","Estranged",363585
"2023-12-23 09:23","Steven Wilson","Drive Home",457250
"2023-12-23 09:26","Pink Floyd","Dogs",142740
"2023-12-23 09:31","Pink Floyd","Hey You",278440
"2023-12-23 10:45","Pink Floyd","A Pillow of Winds",298253
"2023-12-23 12:55","The Local Train","Choo Lo",4830
"2023-12-23 12:55","Pink Floyd","Comfortably Numb",1982
"2023-12-23 12:59","The Local Train","Manzil",225871
"2023-12-23 13:05","The Local Train","Aaoge Tum Kabhi",308906
"2023-12-23 13:32","Guns N' Roses","Estranged",421418
"2023-12-23 15:04","David Bowie","Starman - 2012 Remaster",235611
"2023-12-23 15:05","The Rolling Stones","Sympathy For The Devil - 50th Anniversary Edition",60457
"2023-12-23 15:06","Jimi Hendrix","Voodoo Child (Slight Return)",69295
"2023-12-23 15:12","Guns N' Roses","Sweet Child O' Mine",356066
"2023-12-23 15:18","Pink Floyd","Comfortably Numb",382296
"2023-12-23 15:22","Van Halen","Jump - 2015 Remaster",241581
"2023-12-23 15:26","The Clash","Rock the Casbah - Remastered",222426
"2023-12-23 15:27","Bon Jovi","Bad Medicine",49872
"2023-12-23 15:29","Bon Jovi","It's My Life",91873
"2023-12-24 01:44","Nirvana","About A Girl - Live",218000
"2023-12-24 01:49","Nirvana","Come As You Are - Live",253906
"2023-12-24 01:53","Nirvana","Jesus Doesn't Want Me For A Sunbeam - Live",277266
"2023-12-24 01:58","Nirvana","The Man Who Sold The World - Live",261093
"2023-12-24 02:01","Nirvana","Pennyroyal Tea - Live",220506
"2023-12-24 02:04","Nirvana","Dumb - Live",172933
"2023-12-24 02:07","Nirvana","Polly - Live",196466
"2023-12-24 02:11","Nirvana","On A Plain - Live",224724
"2023-12-24 02:15","Nirvana","Something In The Way - Live",241533
"2023-12-24 02:19","Nirvana","Plateau - Live",218133
"2023-12-24 02:22","Nirvana","Oh Me - Live",206148
"2023-12-24 02:25","Nirvana","Lake Of Fire - Live",175973
"2023-12-24 02:30","Nirvana","All Apologies - Live",263226
"2023-12-24 02:35","Nirvana","Where Did You Sleep Last Night - Live",306066
"2023-12-24 03:32","Slash","Anastasia",235143
"2023-12-24 03:38","Metallica","One",377310
"2023-12-24 03:59","Metallica","The Day That Never Comes",40405
"2023-12-24 09:16","Eric Clapton","Layla - Live at The Royal Albert Hall, Orchestral Version",45738
"2023-12-24 13:17","Eagles","Please Come Home for Christmas - 2013 Remaster",93839
"2023-12-24 15:02","Eric Clapton","Tears in Heaven",85173
"2023-12-24 15:03","Eric Clapton","New Recruit - 2000 Remaster",88619
"2023-12-24 15:06","Creedence Clearwater Revival","Have You Ever Seen The Rain",138185
"2023-12-24 15:07","Creedence Clearwater Revival","Fortunate Son",63587
"2023-12-24 15:08","Kings of Leon","Use Somebody",90096
"2023-12-24 15:09","Kings of Leon","Closer",36260
"2023-12-24 15:10","Muse","Hysteria",92853
"2023-12-25 02:22","Creedence Clearwater Revival","Have You Ever Seen The Rain",155625
"2023-12-25 02:26","Eric Clapton","Greyhound Bus",3263
"2023-12-25 02:26","Eric Clapton","Tears in Heaven - Acoustic Live",5661
"2023-12-25 02:26","Eric Clapton","Cocaine",221640
"2023-12-25 02:50","Eric Clapton","I Shot The Sheriff - Live At Hammersmith Odeon",221951
"2023-12-25 03:33","John Mayer","Bold as Love",100155
"2023-12-25 03:35","Jimi Hendrix","Bold as Love",237
"2023-12-25 03:35","Jimi Hendrix","Bold as Love",104055
"2023-12-25 03:35","John Mayer","Bold as Love",7092
"2023-12-25 03:39","John Mayer","Slow Dancing in a Burning Room",226896
"2023-12-25 03:40","Slash","Anastasia",55970
"2023-12-25 03:40","Demi Lovato","Sorry Not Sorry (with Slash) - Rock Version",21982
"2023-12-25 07:21","Three Days Grace","Animal I Have Become",164680
"2023-12-25 07:22","Three Days Grace","One X",4349
"2023-12-25 07:25","Three Days Grace","I Hate Everything About You",209337
"2023-12-25 07:29","Three Days Grace","Never Too Late",209333
"2023-12-25 07:39","Three Days Grace","Animal I Have Become",16385
"2023-12-25 13:38","Survivor","Eye of the Tiger",2856
"2023-12-25 13:38","Eric Clapton","Layla - Live at The Royal Albert Hall, Orchestral Version",1343
"2023-12-25 13:38","John Lennon","Beautiful Boy (Darling Boy) - Remastered 2010",1890
"2023-12-25 13:38","Nirvana","Rape Me",0
"2023-12-25 13:40","Billy Joel","We Didn't Start the Fire",112900
"2023-12-25 13:43","Billy Joel","Piano Man",150680
"2023-12-25 13:46","Billy Joel","It's Still Rock and Roll to Me",176426
"2023-12-25 13:48","Billy Joel","Allentown",122547
"2023-12-25 14:01","Billy Joel","Vienna",108842
"2023-12-25 14:06","Eagles","I Can't Tell You Why - 2013 Remaster",295049
"2023-12-25 14:09","Green Day","Holiday",189647
"2023-12-25 14:14","Green Day","Last Night on Earth",236533
"2023-12-25 14:16","The Beatles","Yesterday - Remastered 2009",125666
"2023-12-25 14:19","Green Day","American Idiot",176346
"2023-12-25 14:23","Guns N' Roses","Nightrain",268213
